from,to,value,width,color,smooth,dashes,title,label,font.align,font.size,font.strokeWidth,font.strokeColor,arrows,bridge_id,bridge_type
chapter4::authority_legitimacy_intent,chapter4::authority_maintenance,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::authority_legitimacy_intent,chapter4::hierarchy_authority,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::authority_legitimacy_intent,chapter4::trust_credibility,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::authority_maintenance,chapter4::hierarchy_authority,3,1.7320508075688772,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::authority_maintenance,chapter4::trust_credibility,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::breach_correction,chapter4::obedience_threshold,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::breach_correction,chapter4::punishment_enforcement,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::breach_correction,chapter4::rule_order_tacit_norms,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::conformity_without_assent,chapter4::context_observation_variability,1,1,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
chapter4::conformity_without_assent,chapter4::moral_neutral_discipline,2,1.4142135623730951,"rgba(50,50,50,0.34)",FALSE,FALSE,<b>Aggregate chapter co-occurrence</b><br>This edge joins two codes that co-occurred in at least one bounded thematic cluster after group-specific nodes were collapsed.,NA,middle,0,0,#ffffff,NA,NA,within-chapter co-occurrence
