id,label,title,value,group,color.background,color.border,shape,font.size,font.strokeWidth,font.strokeColor,mass,chapter_id,chapter_label,original_id,dominant_theme,x,y,fixed
chapter4::authority_legitimacy_intent,"authority
legitimacy intent","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>authority legitimacy intent</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Obedience depends on the subordinate’s reading of authority as legitimate, improving, reciprocal, or non-arbitrary.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Ramon Brown</li><li>Erin Sharpe</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Ramon Brown:</b> discipline requires “you conforming and not just you teaching someone to conform”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Erin Sharpe:</b> “If the instructor said jump, I would want to know how high”; “intent to make me better”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",2,Chapter 4,#214f9b,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,authority_legitimacy_intent,Obedience,-495.972021490005,284.0554614719018,FALSE
chapter4::authority_maintenance,"authority
maintenance","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>authority maintenance</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Authority is treated as something enacted, nurtured, protected, or undermined through ongoing conduct.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 5<br><b>Clusters represented:</b> 5</p><h3>Participant pseudonyms</h3><ul><li>Kwame Dawn</li><li>Ramon Brown</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Ramon Brown:</b> “You treat your authority like it’s a garden to be nurtured.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Kwame Dawn:</b> “If e discipline bruk dung, higher authority can bring it back.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Ramon Brown:</b> discipline requires “you conforming and not just you teaching someone to conform”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Ramon Brown:</b> rank carries “a certain level of authority that is assumed”; higher authority can undermine it; disrespect can “spread like wildfire”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Jeremiah Black:</b> “It’s not a rank that makes a person. A person makes rank.”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",5,Chapter 4,#214f9b,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,authority_maintenance,Obedience,-542.0126615464112,275.0952063403751,FALSE
chapter4::breach_correction,breach correction,"<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>breach correction</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Disciplinary expectations become visible through breach, error, detection, or correction.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Chaz Stonegrill</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Chaz Stonegrill:</b> “not a written rule”; “becomes clear when someone fails to meet it”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Jeremiah Black:</b> “Discipline is not really taught in the JDF. Discipline is enforced.”; “if yuh slip up, yuh get mash up”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",2,Chapter 4,#214f9b,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,breach_correction,Obedience,-543.6506643881562,310.42977266586246,FALSE
chapter4::conformity_without_assent,"conformity without
assent","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>conformity without assent</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Outward conformity may conceal dissent, strategy, hostile intention, or lack of inner alignment.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Anara Birdsong</li><li>Erin Sharpe</li><li>Marco Wolf</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Erin Sharpe:</b> “gang members, they come in, they conform”; “To be the enemy within”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Anara Birdsong:</b> “Yuh know how much things recruits think but they don’t act? Dem jus’ roll … crawl … and conform.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Marco Wolf:</b> “steal the pick-up, steal a rifle, or rounds”; “We try to sift these persons out”; “MIU might have missed these persons”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Marco Wolf:</b> “It’s not a singular activity”; “disciplined in one aspect but indisciplined in a next”; “when somebody else is watching”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",4,Chapter 4,#5d86cf,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,conformity_without_assent,Internalisation,-591.8545072928102,299.68743937394277,FALSE
chapter4::consequence_managed_compliance,"consequence
managed compliance","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>consequence managed compliance</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Visible compliance is sustained through reinforcement, consequence, rigid standard-setting, or pragmatic adjustment to external demand.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Performativity<br><b>Code frequency:</b> 3<br><b>Clusters represented:</b> 3</p><h3>Participant pseudonyms</h3><ul><li>Jeremiah Black</li><li>Marco Wolf</li><li>Lee Brown</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Jeremiah Black:</b> instructors described as “sharp and hard”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Lee Brown:</b> “We just maintain the standard weh dem want.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Marco Wolf:</b> “Discipline goes hand in hand with positive or negative reinforcements. Rigid. Consequences.”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",3,Chapter 4,#aac7ee,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,consequence_managed_compliance,Performativity,-630.4471797752894,376.53773363488756,FALSE
chapter4::context_observation_variability,"context
observation
variability","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>context observation variability</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Discipline is uneven across domains, settings, roles, or observation conditions.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Kevin Grant</li><li>Imani Storm</li><li>Marco Wolf</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Kevin Grant:</b> “Discipline in the home and discipline in the military are two different disciplines. Very different.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Marco Wolf:</b> “It’s not a singular activity”; “disciplined in one aspect but indisciplined in a next”; “when somebody else is watching”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Marco Wolf:</b> skin bleaching described through “self-esteem, rock bottom” and a music culture with artistes both “disciplined” and “indisciplined”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Imani Storm:</b> “discipline ah di ability fi behave in a controlled environment”; “Self-discipline… You are the environment. Your rules. Your principles.”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",4,Chapter 4,#5d86cf,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,context_observation_variability,Internalisation,-687.869749348453,401.5700665173194,FALSE
chapter4::durability_after_control,"durability after
control","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>durability after control</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> The issue is what happens to discipline when training pressure, observation, or structure weakens.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Performativity<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Imani Storm</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Jeremiah Black:</b> “in that absence, they fill it with something, the recruits”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Imani Storm:</b> “When you leave here, in the wider force, he’s not under much pressure as he would be here.”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Imani Storm:</b> “when you leave here, turn back into a Jankro”; “Di likkle Jankro mentality start to come out”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Imani Storm:</b> “under so much lock and key and guarded”; “put up an image, a character, or persona”; “turn back into a Jankro”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",4,Chapter 4,#aac7ee,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,durability_after_control,Performativity,-650.1016618692055,387.91345287445137,FALSE
chapter4::extrinsic_motive_compliance,"extrinsic motive
compliance","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>extrinsic motive compliance</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Disciplined conduct may be driven by fear, reward, ambition, graduation, or becoming a soldier rather than inner formation.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 1<br><b>Clusters represented:</b> 1</p><h3>Participant pseudonyms</h3><ul><li>Anara Birdsong</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li></ul><h3>Data sources</h3><ul><li>Focus group</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Anara Birdsong:</b> “fear of punishment”; “‘Pass out’”; “‘Tun [become] a soldier’”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",1,Chapter 4,#5d86cf,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,extrinsic_motive_compliance,Internalisation,-689.8278093939878,497.90442692209643,FALSE
chapter4::eye_service_appearance_gap,"eye service
appearance gap","<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>eye service appearance gap</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> There is a gap between disciplined appearance and substantive or real discipline.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Performativity<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Obael Stormstrong</li><li>Imani Storm</li><li>Zion Bamboo</li><li>Kevin Jewinsky</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Obael Stormstrong:</b> “You can’t be real disciplined if it’s only when you’re around me”; “eye-service, eye servant ting”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Kevin Jewinsky:</b> “not about look good when the TO comes”; “it has to actually be good”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Imani Storm:</b> “Hummingbird… quality and standard”; “Jankro, weh nuh care, eat anything”</div><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Zion Bamboo:</b> “undisciplined disciplinarian”; “looks disciplined when he’s to lead but when he’s to follow him gone rogue”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",4,Chapter 4,#aac7ee,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,eye_service_appearance_gap,Performativity,-698.8812785614596,410.8570236452992,FALSE
chapter4::goal_persistence,goal persistence,"<div style='max-width:520px; white-space:normal; overflow-wrap:anywhere; box-sizing:border-box;'><h2 style='margin-bottom:4px'>goal persistence</h2><div class='node-definition-top' style='display:block;width:100%;box-sizing:border-box;margin:0.18em 0 0.34em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.36);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Definition:</b> Discipline is continuing toward a clear goal despite low desire, discomfort, or counter-inclination.</div><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 1<br><b>Clusters represented:</b> 1</p><h3>Participant pseudonyms</h3><ul><li>Anaya Redemption</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3 class='evidence-anchor-heading'>Evidence anchors</h3><div class='evidence-anchor-list'><div class='evidence-anchor-item' style='display:block;width:100%;max-width:100%;box-sizing:border-box;margin:0.14em 0 0.24em 0;padding:0.38em 0.48em;background:rgba(255,255,255,0.86);border-left:3px solid rgba(40,40,40,0.30);white-space:normal;overflow-wrap:anywhere;word-break:break-word;line-height:1.18;'><b>Anaya Redemption:</b> “I persist, even though I don’t want to”; “If it is ambiguous, it’s not a goal.”</div></div><p style='font-size:12px'><i>Node detail is drawn from the existing interactive network, with group-specific nodes collapsed into one chapter-level code node.</i></p></div>",1,Chapter 4,#5d86cf,#222222,dot,19,4,#ffffff,1.4,chapter4,Chapter 4,goal_persistence,Internalisation,-748.1175944553862,380.8162582381995,FALSE
