from,to,weight,edge_type,title
Chapter 5::Instructors::standard_setting,Chapter 5::Instructors::accountability_orientation,3,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 3</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::accountability_orientation,Chapter 5::Instructors::consequence_linkage,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::accountability_orientation,Chapter 5::Instructors::psychological_uncertainty,4,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 4</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::consequence_linkage,Chapter 5::Instructors::psychological_uncertainty,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::psychological_uncertainty,Chapter 5::Instructors::symbolic_coercion,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::symbolic_coercion,Chapter 5::Instructors::explanatory_reasoning,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::standard_setting,Chapter 5::Instructors::relational_influence,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::accountability_orientation,Chapter 5::Instructors::relational_influence,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::symbolic_coercion,Chapter 5::Instructors::relational_influence,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::explanatory_reasoning,Chapter 5::Instructors::relational_influence,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::consequence_linkage,Chapter 5::Instructors::motivational_activation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::relational_influence,Chapter 5::Instructors::motivational_activation,5,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 5</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::standard_setting,Chapter 5::Instructors::habit_repetition,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::accountability_orientation,Chapter 5::Instructors::habit_repetition,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::consequence_linkage,Chapter 5::Instructors::habit_repetition,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 5::Instructors::standard_setting,Chapter 5::Instructors::persistence_beyond_training,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 5<br><b>Group:</b> Instructors<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
