from,to,weight,edge_type,title
Chapter 6::Male youths::discipline_boundary_judgement,Chapter 6::Male youths::bodily_harm_danger,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::bodily_harm_danger,Chapter 6::Male youths::psychological_wounding,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::psychological_wounding,Chapter 6::Male youths::verbal_degradation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::discipline_boundary_judgement,Chapter 6::Male youths::humiliation_display,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::psychological_wounding,Chapter 6::Male youths::family_separation_priority,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::bodily_harm_danger,Chapter 6::Male youths::peer_care_solidarity,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::discipline_boundary_judgement,Chapter 6::Male youths::respect_recognition,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::humiliation_display,Chapter 6::Male youths::respect_recognition,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::respect_recognition,Chapter 6::Male youths::learning_support,3,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 3</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::peer_care_solidarity,Chapter 6::Male youths::needed_responsibility,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::silencing_nonresponse,Chapter 6::Male youths::authority_disregard,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::racialised_degradation,Chapter 6::Male youths::structural_powerlessness,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::family_separation_priority,Chapter 6::Male youths::structural_powerlessness,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::needed_responsibility,Chapter 6::Male youths::structural_powerlessness,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::bodily_harm_danger,Chapter 6::Male youths::self_protection_boundary,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Male youths::humiliation_display,Chapter 6::Male youths::self_protection_boundary,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Male youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
