from,to,weight,edge_type,title,bridge_route
Chapter 4::obedience_threshold,Chapter 4::punishment_enforcement,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::obedience_threshold,Chapter 4::breach_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::punishment_enforcement,Chapter 4::breach_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::rule_order_tacit_norms,Chapter 4::breach_correction,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::hierarchy_authority,Chapter 4::authority_legitimacy_intent,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::hierarchy_authority,Chapter 4::authority_maintenance,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::authority_legitimacy_intent,Chapter 4::authority_maintenance,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::hierarchy_authority,Chapter 4::trust_credibility,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::authority_legitimacy_intent,Chapter 4::trust_credibility,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::authority_maintenance,Chapter 4::trust_credibility,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::obedience_threshold,Chapter 4::non_negotiable_army_order,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 4::hierarchy_authority,Chapter 4::non_negotiable_army_order,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 4</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
