node_id,code,code_title,chapter,dominant_theme,code_frequency,clusters_represented,title,within_strength,label_score,colour_key,x,y
Chapter 4::obedience_threshold,obedience_threshold,obedience threshold,Chapter 4,Obedience,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>obedience threshold</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Jonathan McDermott</li><li>Nkrumah Maroon</li><li>Erin Sharpe</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Nkrumah Maroon:</b> “training someone to obey by using punishment”</li><li><b>Jonathan McDermott:</b> “you have to do whatever you are sent here to do”; “unquestionably obedient”</li><li><b>Erin Sharpe:</b> “My construct of discipline at the time was just to follow instructions, to follow orders.”</li><li><b>Jeremiah Black:</b> “Discipline is not really taught in the JDF. Discipline is enforced.”; “if yuh slip up, yuh get mash up”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",4,8,Chapter 4: Obedience,-759.7038815264891,204.0764880171256
Chapter 4::punishment_enforcement,punishment_enforcement,punishment enforcement,Chapter 4,Obedience,2,2,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>punishment enforcement</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Nkrumah Maroon</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Nkrumah Maroon:</b> “training someone to obey by using punishment”</li><li><b>Jeremiah Black:</b> “Discipline is not really taught in the JDF. Discipline is enforced.”; “if yuh slip up, yuh get mash up”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,5,Chapter 4: Obedience,-814.8254873388414,231.9741255595386
Chapter 4::hierarchy_authority,hierarchy_authority,hierarchy authority,Chapter 4,Obedience,7,7,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>hierarchy authority</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 7<br><b>Clusters represented:</b> 7</p><h3>Participant pseudonyms</h3><ul><li>Jonathan McDermott</li><li>Kwame Dawn</li><li>Erin Sharpe</li><li>Ramon Brown</li><li>Jeremiah Black</li><li>Obael Stormstrong</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Jonathan McDermott:</b> “I think discipline was derived from authority.”</li><li><b>Obael Stormstrong:</b> “Dem haffi show wi that level of trust, just the same.”</li><li><b>Jeremiah Black:</b> “It’s not a rank that makes a person. A person makes rank.”</li><li><b>Kwame Dawn:</b> “If e discipline bruk dung, higher authority can bring it back.”</li><li><b>Jonathan McDermott:</b> “Discipline need, um, a structure; and that is why the army is designed the way it is.”</li><li><b>Erin Sharpe:</b> “If the instructor said jump, I would want to know how high”; “intent to make me better”</li><li><b>Ramon Brown:</b> rank carries “a certain level of authority that is assumed”; higher authority can undermine it; disrespect can “spread like wildfire”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",6,13,Chapter 4: Obedience,-642.0698896904182,27.20970946768881
Chapter 4::rule_order_tacit_norms,rule_order_tacit_norms,rule order tacit norms,Chapter 4,Obedience,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>rule order tacit norms</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Imani Storm</li><li>Bob Wellington</li><li>Chaz Stonegrill</li><li>Passion Purpose</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Chaz Stonegrill:</b> “not a written rule”; “becomes clear when someone fails to meet it”</li><li><b>Bob Wellington:</b> members sign “Do’s and Don’ts” but these are “not always kept in hand for re-reading”</li><li><b>Imani Storm:</b> “perhaps the most governed individuals inna Jamaica by the amount o’ rules”; “the Green Book”</li><li><b>Passion Purpose:</b> “there can be unwritten rules”; “If we were to write everything, then we would have a problem.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",1,5,Chapter 4: Obedience,-733.2023807015775,338.5784458381262
Chapter 4::breach_correction,breach_correction,breach correction,Chapter 4,Obedience,2,2,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>breach correction</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Chaz Stonegrill</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Chaz Stonegrill:</b> “not a written rule”; “becomes clear when someone fails to meet it”</li><li><b>Jeremiah Black:</b> “Discipline is not really taught in the JDF. Discipline is enforced.”; “if yuh slip up, yuh get mash up”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,5,Chapter 4: Obedience,-781.0770670825381,288.3472234989482
Chapter 4::authority_legitimacy_intent,authority_legitimacy_intent,authority legitimacy intent,Chapter 4,Obedience,2,2,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>authority legitimacy intent</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Erin Sharpe</li><li>Ramon Brown</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Ramon Brown:</b> discipline requires “you conforming and not just you teaching someone to conform”</li><li><b>Erin Sharpe:</b> “If the instructor said jump, I would want to know how high”; “intent to make me better”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,5,Chapter 4: Obedience,-590,-56.47296066265142
Chapter 4::authority_maintenance,authority_maintenance,authority maintenance,Chapter 4,Obedience,5,5,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>authority maintenance</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 5<br><b>Clusters represented:</b> 5</p><h3>Participant pseudonyms</h3><ul><li>Kwame Dawn</li><li>Ramon Brown</li><li>Jeremiah Black</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Jeremiah Black:</b> “It’s not a rank that makes a person. A person makes rank.”</li><li><b>Ramon Brown:</b> “You treat your authority like it’s a garden to be nurtured.”</li><li><b>Kwame Dawn:</b> “If e discipline bruk dung, higher authority can bring it back.”</li><li><b>Ramon Brown:</b> discipline requires “you conforming and not just you teaching someone to conform”</li><li><b>Ramon Brown:</b> rank carries “a certain level of authority that is assumed”; higher authority can undermine it; disrespect can “spread like wildfire”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",5,10,Chapter 4: Obedience,-601.3596773545025,0.5444201205958734
Chapter 4::trust_credibility,trust_credibility,trust credibility,Chapter 4,Obedience,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>trust credibility</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Obael Stormstrong</li><li>Ramon Brown</li><li>Chaz Stonegrill</li><li>Marley Thunder</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Obael Stormstrong:</b> “Dem haffi show wi that level of trust, just the same.”</li><li><b>Marley Thunder:</b> “When e discipline bruk dung now e damage e trust weh dem have fi wi.”</li><li><b>Ramon Brown:</b> discipline requires “you conforming and not just you teaching someone to conform”</li><li><b>Chaz Stonegrill:</b> “In order for them to trust in what we do, we have to be viewed as professionals with the discipline.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",5,9,Chapter 4: Obedience,-652.2396483712637,-63.40949321570548
Chapter 4::operational_reliability_risk,operational_reliability_risk,operational reliability risk,Chapter 4,Obedience,3,3,<div style='max-width:560px'><h2 style='margin-bottom:4px'>operational reliability risk</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 3<br><b>Clusters represented:</b> 3</p><h3>Participant pseudonyms</h3><ul><li>Jeremiah Black</li><li>Kevin Jewinsky</li><li>Lee Brown</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Kevin Jewinsky:</b> “Even small lapse can throw off the whole thing.”</li><li><b>Lee Brown:</b> “We would have the worst army in the world right now.”</li><li><b>Jeremiah Black:</b> “Yuh can’t put nuh piaw-piaw soldier to go do [that]… dem haffi be well disciplined.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,1,4,Chapter 4: Obedience,-631.4815976444977,179.93533759752393
Chapter 4::non_negotiable_army_order,non_negotiable_army_order,non negotiable army order,Chapter 4,Obedience,5,5,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>non negotiable army order</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Obedience<br><b>Code frequency:</b> 5<br><b>Clusters represented:</b> 5</p><h3>Participant pseudonyms</h3><ul><li>Jonathan McDermott</li><li>Kevin Jewinsky</li><li>Kwame Dawn</li><li>Lee Brown</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Kwame Dawn:</b> “Di army don’t work so.”</li><li><b>Kevin Jewinsky:</b> “ah jus’ so di Army ting set”</li><li><b>Lee Brown:</b> “We would have the worst army in the world right now.”</li><li><b>Jonathan McDermott:</b> “you have to do whatever you are sent here to do”; “unquestionably obedient”</li><li><b>Jonathan McDermott:</b> “Discipline need, um, a structure; and that is why the army is designed the way it is.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,8,Chapter 4: Obedience,-688.3053398705883,129.3859501897714
